"city","AQI"
"北京","282"
"天津","148"
"石家庄","234"
"唐山","108"
"秦皇岛","56"
"邯郸","242"
"保定","296"
"张家口","220"
"承德","158"
"廊坊","214"
"沧州","93"
"衡水","150"
"邢台","156"
"太原","61"
"呼和浩特","91"
"沈阳","81"
"大连","45"
"长春","90"
"哈尔滨","91"
"上海","78"
"南京","22"
"苏州","37"
"南通","20"
"连云港","48"
"徐州","42"
"扬州","31"
"无锡","59"
"常州","46"
"镇江","24"
"泰州","36"
"淮安","35"
"盐城","44"
"宿迁","28"
"杭州","32"
"宁波","70"
"温州","62"
"绍兴","58"
"湖州","63"
"嘉兴","110"
"台州","59"
"舟山","40"
"金华","141"
"衢州","58"
"丽水","60"
"合肥","29"
"福州","54"
"厦门","30"
"南昌","29"
"济南","95"
"青岛","43"
"郑州","71"
"武汉","25"
"长沙","14"
"广州","45"
"深圳","26"
"珠海","35"
"佛山","50"
"中山","43"
"江门","66"
"东莞","32"
"惠州","32"
"肇庆","34"
"南宁","48"
"海口","29"
"重庆","40"
"成都","59"
"贵阳","31"
"昆明","45"
"拉萨","63"
"西安","63"
"兰州","80"
"西宁","63"
"银川","74"
"乌鲁木齐","70"
"湘潭","18"
"株洲","17"
"包头","69"
"鄂尔多斯","54"
"营口","94"
"盘锦","96"
"泉州","38"
"莱芜","125"
"临沂","58"
"德州","120"
"聊城","109"
"滨州","81"
"淄博","79"
"枣庄","77"
"烟台","72"
"潍坊","54"
"济宁","78"
"泰安","81"
"日照","49"
"威海","55"
"东营","53"
"韶关","39"
"汕头","37"
"湛江","27"
"茂名","26"
"梅州","37"
"汕尾","27"
"阳江","27"
"清远","53"
"潮州","58"
"云浮","29"
"玉溪","43"
"菏泽","82"
"大同","95"
"长治","96"
"临汾","105"
"阳泉","170"
"赤峰","308"
"鞍山","70"
"抚顺","76"
"本溪","87"
"锦州","69"
"吉林","88"
"齐齐哈尔","59"
"牡丹江","57"
"大庆","112"
"芜湖","34"
"马鞍山","32"
"九江","12"
"洛阳","108"
"安阳","243"
"开封","220"
"焦作","184"
"平顶山","78"
"三门峡","86"
"宜昌","49"
"荆州","29"
"岳阳","29"
"常德","36"
"张家界","30"
"桂林","78"
"北海","47"
"柳州","54"
"三亚","25"
"绵阳","55"
"宜宾","49"
"攀枝花","42"
"泸州","63"
"自贡","80"
"德阳","60"
"南充","67"
"遵义","44"
"曲靖","60"
"咸阳","77"
"铜川","99"
"延安","150"
"宝鸡","67"
"渭南","50"
"金昌","48"
"嘉峪关","56"
"石嘴山","65"
"克拉玛依","49"
"库尔勒","143"
"寿光","51"
"章丘","78"
"即墨","40"
"胶南","83"
"胶州","43"
"莱西","61"
"平度","42"
"蓬莱","66"
"招远","77"
"莱州","65"
"荣成","36"
"文登","46"
"乳山","39"
"吴江","65"
"昆山","85"
"常熟","65"
"张家港","35"
"太仓","77"
"句容","7"
"江阴","38"
"宜兴","27"
"金坛","16"
"溧阳","29"
"海门","83"
"临安","39"
"富阳","39"
"义乌","142"
"诸暨",NA
"瓦房店","53"
"信阳","50"
"周口","104"
"漳州","35"
"晋城","131"
"朔州","106"
"晋中","205"
"运城","179"
"忻州","89"
"吕梁","81"
"乌海","65"
"通辽","117"
"呼伦贝尔","57"
"巴彦淖尔","71"
"乌兰察布","79"
"兴安盟","53"
"锡林郭勒盟","69"
"阿拉善盟","52"
"阜新","92"
"铁岭","94"
"四平","70"
"辽源","79"
"通化","88"
"白山","77"
"松原","500"
"白城","89"
"延边州","59"
"鸡西","74"
"鹤岗","85"
"双鸭山","58"
"伊春","67"
"佳木斯","52"
"七台河","96"
"黑河","257"
"绥化","196"
"大兴安岭地区","34"
"蚌埠","31"
"淮南","33"
"淮北","30"
"铜陵","33"
"安庆","21"
"黄山","54"
"滁州","36"
"阜阳","30"
"宿州","36"
"六安","32"
"亳州","40"
"池州","23"
"宣城","31"
"莆田","33"
"三明","55"
"南平","44"
"龙岩","44"
"宁德","68"
"景德镇","49"
"萍乡","36"
"新余","56"
"鹰潭","29"
"赣州","53"
"吉安","55"
"宜春","74"
"抚州","37"
"上饶","76"
"鹤壁","188"
"新乡","146"
"濮阳","110"
"许昌","99"
"漯河","196"
"南阳","59"
"商丘","87"
"驻马店","137"
"黄石","35"
"十堰","29"
"鄂州","29"
"荆门","29"
"孝感","17"
"黄冈","22"
"咸宁","37"
"随州","36"
"恩施州","52"
"衡阳","42"
"邵阳","18"
"益阳","27"
"郴州","54"
"永州","54"
"怀化","18"
"娄底","19"
"湘西州","21"
"梧州","50"
"防城港","28"
"钦州","57"
"贵港","40"
"玉林","58"
"百色","56"
"贺州","38"
"河池","66"
"来宾","56"
"崇左","41"
"广元","52"
"遂宁","53"
"内江","56"
"乐山","52"
"眉山","58"
"广安","47"
"达州","61"
"雅安","33"
"巴中","36"
"资阳","55"
"阿坝州","53"
"甘孜州","17"
"凉山州","34"
"六盘水","34"
"安顺","38"
"铜仁地区","26"
"毕节","23"
"黔西南州","35"
"黔东南州","28"
"黔南州",NA
"保山","49"
"昭通","46"
"丽江","39"
"临沧","45"
"楚雄州","46"
"红河州","97"
"文山州","81"
"西双版纳州","82"
"大理州","33"
"德宏州","40"
"怒江州","35"
"迪庆州","27"
"昌都地区","86"
"山南地区","56"
"日喀则地区","47"
"那曲地区","150"
"阿里地区","20"
"林芝地区","39"
"汉中","57"
"榆林","94"
"安康","28"
"商洛","31"
"白银","62"
"天水","56"
"武威","57"
"张掖","85"
"平凉","65"
"酒泉","62"
"庆阳","74"
"定西","89"
"陇南","29"
"临夏州","50"
"甘南州","46"
"海东地区","46"
"海北州","92"
"黄南州","87"
"海南州","99"
"果洛州","115"
"玉树州","24"
"海西州","70"
"吴忠","78"
"中卫","87"
"固原","116"
"吐鲁番地区","118"
"哈密地区","50"
"昌吉州","40"
"博州","75"
"阿克苏地区","85"
"喀什地区","212"
"和田地区","321"
"伊犁哈萨克州","61"
"塔城地区","40"
"阿勒泰地区","47"
"石河子","70"
"五家渠","55"
"克州","186"
"普洱","41"
"襄阳","22"
"葫芦岛","60"
"河源","30"
"揭阳","53"
"辽阳","76"
"朝阳","104"
"丹东","164"
