"date","AQI"
"2014-05-13",81
"2014-05-14",89
"2014-05-15",70
"2014-05-16",166
"2014-05-17",92
"2014-05-18",85
"2014-05-19",149
"2014-05-20",215
"2014-05-21",148
"2014-05-22",196
"2014-05-23",97
"2014-05-24",125
"2014-05-25",116
"2014-05-26",53
"2014-05-27",NA
"2014-05-28",NA
"2014-05-29",86
"2014-05-30",84
"2014-05-31",156
"2014-06-01",165
"2014-06-02",63
"2014-06-03",67
"2014-06-04",98
"2014-06-05",76
"2014-06-06",123
"2014-06-07",NA
"2014-06-08",59
"2014-06-09",NA
"2014-06-10",64
"2014-06-11",NA
"2014-06-12",67
"2014-06-13",75
"2014-06-14",56
"2014-06-15",142
"2014-06-16",125
"2014-06-17",220
"2014-06-18",77
"2014-06-19",148
"2014-06-20",104
"2014-06-21",113
"2014-06-22",60
"2014-06-23",48
"2014-06-24",76
"2014-06-25",111
"2014-06-26",200
"2014-06-27",86
"2014-06-28",55
"2014-06-29",53
"2014-06-30",119
"2014-07-01",NA
"2014-07-02",78
"2014-07-03",139
"2014-07-04",257
"2014-07-05",188
"2014-07-06",221
"2014-07-07",229
"2014-07-08",268
"2014-07-09",71
"2014-07-10",NA
"2014-07-11",82
"2014-07-12",61
"2014-07-13",64
"2014-07-14",71
"2014-07-24",64
"2014-07-25",96
"2014-07-26",105
"2014-07-27",131
"2014-07-28",141
"2014-07-29",NA
"2014-07-30",111
"2014-07-31",252
"2014-08-01",238
"2014-08-02",181
"2014-08-03",193
"2014-08-04",94
"2014-08-05",28
"2014-08-06",65
"2014-08-07",83
"2014-08-08",118
"2014-08-09",95
"2014-08-10",96
"2014-08-11",82
"2014-08-12",59
"2014-08-13",81
"2014-08-14",34
"2014-08-15",55
"2014-08-16",72
"2014-08-17",153
"2014-08-18",95
"2014-08-19",103
"2014-08-20",114
"2014-08-21",135
"2014-08-22",110
"2014-08-23",132
"2014-08-24",94
"2014-08-25",45
"2014-08-26",83
"2014-08-27",73
"2014-08-28",128
"2014-08-29",86
"2014-08-30",117
"2014-08-31",116
"2014-09-01",NA
"2014-09-02",43
"2014-09-03",23
"2014-09-04",58
"2014-09-05",91
"2014-09-06",196
"2014-09-07",202
"2014-09-08",110
"2014-09-09",66
"2014-09-10",78
"2014-09-11",88
"2014-09-12",133
"2014-09-13",91
"2014-09-14",99
"2014-09-15",76
"2014-09-16",72
"2014-09-17",66
"2014-09-18",91
"2014-09-19",75
"2014-09-20",138
"2014-09-21",235
"2014-09-22",111
"2014-09-23",120
"2014-09-24",46
"2014-09-25",108
"2014-09-26",127
"2014-09-27",138
"2014-09-28",78
"2014-09-29",116
"2014-09-30",55
"2014-10-01",81
"2014-10-02",89
"2014-10-03",89
"2014-10-04",174
"2014-10-05",85
"2014-10-06",52
"2014-10-07",105
"2014-10-08",263
"2014-10-09",375
"2014-10-10",396
"2014-10-11",351
"2014-10-12",26
"2014-10-13",19
"2014-10-14",65
"2014-10-15",130
"2014-10-16",48
"2014-10-17",104
"2014-10-18",195
"2014-10-19",300
"2014-10-20",231
"2014-10-21",113
"2014-10-22",78
"2014-10-23",136
"2014-10-24",216
"2014-10-25",330
"2014-10-26",370
"2014-10-27",35
"2014-10-28",71
"2014-10-29",110
"2014-10-30",181
"2014-10-31",224
"2014-11-01",222
"2014-11-02",22
"2014-11-03",42
"2014-11-04",65
"2014-11-05",237
"2014-11-06",28
"2014-11-07",61
"2014-11-08",70
"2014-11-09",109
"2014-11-10",110
"2014-11-11",157
"2014-11-12",63
"2014-11-13",31
"2014-11-14",58
"2014-11-15",109
"2014-11-16",NA
"2014-11-17",24
"2014-11-18",83
"2014-11-19",188
"2014-11-20",348
"2014-11-21",423
"2014-11-22",23
"2014-11-23",142
"2014-11-24",205
"2014-11-25",115
"2014-11-26",294
"2014-11-27",387
"2014-11-28",67
"2014-11-29",230
"2014-11-30",294
"2014-12-01",466
"2014-12-02",20
"2014-12-03",38
"2014-12-04",29
"2014-12-05",25
"2014-12-06",126
"2014-12-07",121
"2014-12-08",28
"2014-12-09",178
"2014-12-10",324
"2014-12-11",29
"2014-12-12",44
"2014-12-13",56
"2014-12-14",122
"2014-12-15",185
"2014-12-16",27
"2014-12-17",28
"2014-12-18",139
"2014-12-19",NA
"2014-12-20",23
"2014-12-21",23
"2014-12-22",80
"2014-12-23",131
"2014-12-24",41
"2014-12-25",47
"2014-12-26",94
"2014-12-27",210
"2014-12-28",320
"2014-12-29",236
"2014-12-30",86
"2014-12-31",94
"2015-01-02",NA
"2015-01-03",163
"2015-01-04",255
"2015-01-05",261
"2015-01-06",33
"2015-01-07",146
"2015-01-08",104
"2015-01-09",267
"2015-01-10",270
"2015-01-11",77
"2015-01-12",163
"2015-01-13",214
"2015-01-14",272
"2015-01-15",325
"2015-01-16",456
"2015-01-17",26
"2015-01-18",160
"2015-01-19",36
"2015-01-20",94
"2015-01-21",85
"2015-01-22",60
"2015-01-23",237
"2015-01-24",299
"2015-01-25",119
"2015-01-26",266
"2015-01-27",29
"2015-01-28",56
"2015-01-29",143
"2015-01-30",29
"2015-01-31",23
"2015-02-01",137
"2015-02-02",192
"2015-02-03",200
"2015-02-04",48
"2015-02-05",36
"2015-02-06",88
"2015-02-07",108
"2015-02-08",36
"2015-02-09",136
"2015-02-10",216
"2015-02-11",128
"2015-02-12",38
"2015-02-13",117
"2015-02-14",271
"2015-02-15",372
"2015-02-16",263
"2015-02-17",48
"2015-02-18",94
"2015-02-19",236
"2015-02-20",199
"2015-02-21",232
"2015-02-22",500
"2015-02-23",67
"2015-02-24",206
"2015-02-25",268
"2015-02-26",29
"2015-02-27",30
"2015-02-28",71
"2015-03-01",166
"2015-03-02",100
"2015-03-03",36
"2015-03-04",40
"2015-03-05",111
"2015-03-06",229
"2015-03-07",331
"2015-03-08",292
"2015-03-09",69
"2015-03-10",33
"2015-03-11",100
"2015-03-12",111
"2015-03-13",138
"2015-03-14",111
"2015-03-15",206
"2015-03-16",185
"2015-03-17",356
"2015-03-18",69
"2015-03-19",127
"2015-03-20",179
"2015-03-21",130
"2015-03-22",98
"2015-03-23",96
"2015-03-24",73
"2015-03-25",184
"2015-03-26",138
"2015-03-27",96
"2015-03-28",142
"2015-03-29",59
"2015-03-30",220
"2015-03-31",219
"2015-04-01",104
"2015-04-02",63
"2015-04-03",41
"2015-04-04",50
"2015-04-05",144
"2015-04-06",38
"2015-04-07",57
"2015-04-08",86
"2015-04-09",195
"2015-04-10",264
"2015-04-11",105
"2015-04-12",43
"2015-04-13",44
"2015-04-14",76
"2015-04-15",86
"2015-04-16",432
"2015-04-17",100
"2015-04-18",156
"2015-04-19",74
"2015-04-20",106
"2015-04-21",103
"2015-04-22",56
"2015-04-23",78
"2015-04-24",85
"2015-04-25",110
"2015-04-26",116
"2015-04-27",109
"2015-04-28",61
"2015-04-29",117
"2015-04-30",146
"2015-05-01",216
"2015-05-02",49
"2015-05-03",94
"2015-05-04",44
"2015-05-05",71
"2015-05-06",43
"2015-05-07",95
"2015-05-08",61
"2015-05-09",120
"2015-05-10",48
"2015-05-11",54
"2015-05-12",35
"2015-05-13",88
"2015-05-14",148
"2015-05-15",47
"2015-05-16",76
"2015-05-17",106
"2015-05-18",203
"2015-05-19",85
"2015-05-20",40
"2015-05-21",56
"2015-05-22",71
"2015-05-23",100
"2015-05-24",135
"2015-05-25",117
"2015-05-26",137
"2015-05-27",131
"2015-05-28",165
"2015-05-29",114
"2015-05-30",77
"2015-05-31",71
"2015-06-01",126
"2015-06-02",150
"2015-06-03",163
"2015-06-04",83
"2015-06-05",72
"2015-06-06",NA
"2015-06-07",53
"2015-06-08",35
"2015-06-09",58
"2015-06-10",96
"2015-06-11",89
"2015-06-12",53
"2015-06-13",44
"2015-06-14",48
"2015-06-15",89
"2015-06-16",115
"2015-06-17",128
"2015-06-18",63
"2015-06-19",39
"2015-06-20",55
"2015-06-21",87
"2015-06-22",113
"2015-06-23",154
"2015-06-24",210
"2015-06-25",144
"2015-06-26",172
"2015-06-27",93
"2015-06-28",158
"2015-06-29",232
"2015-06-30",33
"2015-07-01",53
"2015-07-02",23
"2015-07-03",49
"2015-07-04",93
"2015-07-05",82
"2015-07-06",121
"2015-07-07",118
"2015-07-08",122
"2015-07-09",121
"2015-07-10",111
"2015-07-11",113
"2015-07-12",122
"2015-07-13",94
"2015-07-14",132
"2015-07-15",86
"2015-07-16",70
"2015-07-17",58
"2015-07-18",109
"2015-07-19",61
"2015-07-20",103
"2015-07-21",165
"2015-07-22",81
"2015-07-23",75
"2015-07-24",55
"2015-07-25",85
"2015-07-26",172
"2015-07-27",103
"2015-07-28",88
"2015-07-29",100
"2015-07-30",81
"2015-07-31",42
"2015-08-01",60
"2015-08-02",83
"2015-08-03",124
"2015-08-04",27
"2015-08-05",79
"2015-08-06",94
"2015-08-07",117
"2015-08-08",66
"2015-08-09",94
"2015-08-10",94
"2015-08-11",110
"2015-08-12",116
"2015-08-13",136
"2015-08-14",142
"2015-08-15",79
"2015-08-16",67
"2015-08-17",143
"2015-08-18",113
"2015-08-19",59
"2015-08-20",60
"2015-08-21",66
"2015-08-22",60
"2015-08-23",82
"2015-08-24",27
"2015-08-25",36
"2015-08-26",31
"2015-08-27",36
"2015-08-28",37
"2015-08-29",55
"2015-08-30",86
"2015-08-31",55
"2015-09-01",34
"2015-09-02",20
"2015-09-03",29
"2015-09-04",58
"2015-09-05",39
"2015-09-06",26
"2015-09-07",49
"2015-09-08",65
"2015-09-09",92
"2015-09-10",22
"2015-09-11",18
"2015-09-12",22
"2015-09-13",53
"2015-09-14",64
"2015-09-15",109
"2015-09-16",154
"2015-09-17",179
"2015-09-18",226
"2015-09-19",49
"2015-09-20",136
"2015-09-21",109
"2015-09-22",161
"2015-09-23",46
"2015-09-24",77
"2015-09-25",48
"2015-09-26",54
"2015-09-27",86
"2015-09-28",54
"2015-09-29",91
"2015-09-30",32
"2015-10-01",54
"2015-10-02",53
"2015-10-03",62
"2015-10-04",83
"2015-10-05",225
"2015-10-06",352
"2015-10-07",343
"2015-10-08",43
"2015-10-09",52
"2015-10-10",26
"2015-10-11",23
"2015-10-12",27
"2015-10-13",43
"2015-10-14",98
"2015-10-15",163
"2015-10-16",188
"2015-10-17",344
"2015-10-18",307
"2015-10-19",58
"2015-10-20",130
"2015-10-21",80
"2015-10-22",92
"2015-10-23",53
"2015-10-24",106
"2015-10-25",63
"2015-10-26",60
"2015-10-27",43
"2015-10-28",15
"2015-10-29",19
"2015-10-30",24
"2015-10-31",72
"2015-11-01",109
"2015-11-02",131
"2015-11-03",148
"2015-11-04",217
"2015-11-05",291
"2015-11-06",26
"2015-11-07",32
"2015-11-08",40
"2015-11-09",122
"2015-11-10",158
"2015-11-11",193
"2015-11-12",148
"2015-11-13",247
"2015-11-14",274
"2015-11-15",332
"2015-11-16",87
"2015-11-17",111
"2015-11-18",75
"2015-11-19",121
"2015-11-20",88
"2015-11-21",71
"2015-11-22",108
"2015-11-23",64
"2015-11-24",23
"2015-11-25",111
"2015-11-26",26
"2015-11-27",161
"2015-11-28",334
"2015-11-29",302
"2015-11-30",325
"2015-12-01",500
"2015-12-02",170
"2015-12-03",22
"2015-12-04",23
"2015-12-05",128
"2015-12-06",98
"2015-12-07",230
"2015-12-08",270
"2015-12-09",304
"2015-12-10",304
"2015-12-11",53
"2015-12-12",141
"2015-12-13",254
"2015-12-14",287
"2015-12-15",24
"2015-12-16",24
"2015-12-17",19
"2015-12-18",163
"2015-12-19",115
"2015-12-20",224
"2015-12-21",305
"2015-12-22",339
"2015-12-23",423
"2015-12-24",171
"2015-12-25",429
"2015-12-26",478
"2015-12-27",87
"2015-12-28",126
"2015-12-29",283
"2015-12-30",436
"2015-12-31",30
"2016-01-01",215
"2016-01-02",323
"2016-01-03",452
"2016-01-04",273
"2016-01-05",24
"2016-01-06",99
"2016-01-07",28
"2016-01-08",26
"2016-01-09",133
"2016-01-10",170
"2016-01-11",24
"2016-01-12",24
"2016-01-13",28
"2016-01-14",65
"2016-01-15",143
"2016-01-16",250
"2016-01-17",192
"2016-01-18",27
"2016-01-19",38
"2016-01-20",125
"2016-01-21",200
"2016-01-22",193
"2016-01-23",29
"2016-01-24",52
"2016-01-25",51
"2016-01-26",49
"2016-01-27",136
"2016-01-28",225
"2016-01-29",161
"2016-01-30",67
"2016-01-31",19
"2016-02-01",26
"2016-02-02",28
"2016-02-03",53
"2016-02-04",22
"2016-02-05",33
"2016-02-06",33
"2016-02-07",108
"2016-02-08",270
"2016-02-09",35
"2016-02-10",93
"2016-02-11",211
"2016-02-12",160
"2016-02-13",45
"2016-02-14",35
"2016-02-15",34
"2016-02-16",57
"2016-02-17",30
"2016-02-18",80
"2016-02-19",29
"2016-02-20",35
"2016-02-21",54
"2016-02-22",167
"2016-02-23",38
"2016-02-24",32
"2016-02-25",37
"2016-02-26",29
"2016-02-27",36
"2016-02-28",61
"2016-02-29",38
"2016-03-01",98
"2016-03-02",235
"2016-03-03",224
"2016-03-04",420
"2016-03-05",423
"2016-03-06",98
"2016-03-07",149
"2016-03-08",39
"2016-03-09",34
"2016-03-10",38
"2016-03-11",60
"2016-03-12",82
"2016-03-13",188
"2016-03-14",86
"2016-03-15",121
"2016-03-16",261
"2016-03-17",351
"2016-03-18",403
"2016-03-19",37
"2016-03-20",70
"2016-03-21",133
"2016-03-22",206
"2016-03-23",108
"2016-03-24",36
"2016-03-25",30
"2016-03-26",57
"2016-03-27",33
"2016-03-28",77
"2016-03-29",82
"2016-03-30",50
"2016-03-31",104
"2016-04-01",150
"2016-04-02",36
"2016-04-03",37
"2016-04-04",71
"2016-04-05",147
"2016-04-06",72
"2016-04-07",282
"2016-04-08",42
"2016-04-09",116
"2016-04-10",114
"2016-04-11",86
