"date","AQI"
"2014-05-13",176
"2014-05-14",190
"2014-05-15",50
"2014-05-16",90
"2014-05-17",130
"2014-05-18",176
"2014-05-19",165
"2014-05-20",118
"2014-05-21",128
"2014-05-22",95
"2014-05-23",69
"2014-05-24",55
"2014-05-25",66
"2014-05-26",75
"2014-05-27",116
"2014-05-28",148
"2014-05-29",105
"2014-05-30",87
"2014-05-31",114
"2014-06-01",123
"2014-06-02",146
"2014-06-03",174
"2014-06-04",35
"2014-06-05",58
"2014-06-06",66
"2014-06-07",67
"2014-06-08",98
"2014-06-09",NA
"2014-06-10",78
"2014-06-11",68
"2014-06-12",63
"2014-06-13",44
"2014-06-14",77
"2014-06-15",56
"2014-06-16",82
"2014-06-17",69
"2014-06-18",76
"2014-06-19",99
"2014-06-20",44
"2014-06-21",55
"2014-06-22",55
"2014-06-23",61
"2014-06-24",35
"2014-06-25",32
"2014-06-26",64
"2014-06-27",45
"2014-06-28",87
"2014-06-29",33
"2014-06-30",55
"2014-07-01",38
"2014-07-02",39
"2014-07-03",51
"2014-07-04",78
"2014-07-05",66
"2014-07-06",99
"2014-07-07",76
"2014-07-08",61
"2014-07-09",91
"2014-07-10",23
"2014-07-11",53
"2014-07-12",76
"2014-07-13",53
"2014-07-14",53
"2014-07-24",61
"2014-07-25",50
"2014-07-26",66
"2014-07-27",98
"2014-07-28",66
"2014-07-29",75
"2014-07-30",104
"2014-07-31",77
"2014-08-01",35
"2014-08-02",67
"2014-08-03",64
"2014-08-04",98
"2014-08-05",62
"2014-08-06",80
"2014-08-07",63
"2014-08-08",38
"2014-08-09",18
"2014-08-10",60
"2014-08-11",70
"2014-08-12",57
"2014-08-13",60
"2014-08-14",80
"2014-08-15",80
"2014-08-16",67
"2014-08-17",72
"2014-08-18",41
"2014-08-19",57
"2014-08-20",61
"2014-08-21",75
"2014-08-22",47
"2014-08-23",58
"2014-08-24",61
"2014-08-25",71
"2014-08-26",115
"2014-08-27",47
"2014-08-28",37
"2014-08-29",36
"2014-08-30",85
"2014-08-31",63
"2014-09-01",NA
"2014-09-02",55
"2014-09-03",69
"2014-09-04",63
"2014-09-05",81
"2014-09-06",82
"2014-09-07",78
"2014-09-08",34
"2014-09-09",59
"2014-09-10",63
"2014-09-11",69
"2014-09-12",63
"2014-09-13",52
"2014-09-14",54
"2014-09-15",61
"2014-09-16",71
"2014-09-17",37
"2014-09-18",29
"2014-09-19",49
"2014-09-20",32
"2014-09-21",74
"2014-09-22",59
"2014-09-23",44
"2014-09-24",51
"2014-09-25",71
"2014-09-26",119
"2014-09-27",83
"2014-09-28",47
"2014-09-29",76
"2014-09-30",81
"2014-10-01",93
"2014-10-02",63
"2014-10-03",62
"2014-10-04",68
"2014-10-05",64
"2014-10-06",85
"2014-10-07",87
"2014-10-08",171
"2014-10-09",144
"2014-10-10",193
"2014-10-11",92
"2014-10-12",30
"2014-10-13",43
"2014-10-14",61
"2014-10-15",74
"2014-10-16",60
"2014-10-17",65
"2014-10-18",94
"2014-10-19",62
"2014-10-20",91
"2014-10-21",130
"2014-10-22",68
"2014-10-23",104
"2014-10-24",110
"2014-10-25",178
"2014-10-26",171
"2014-10-27",196
"2014-10-28",46
"2014-10-29",46
"2014-10-30",NA
"2014-10-31",51
"2014-11-01",43
"2014-11-02",40
"2014-11-03",62
"2014-11-04",69
"2014-11-05",113
"2014-11-06",120
"2014-11-07",88
"2014-11-08",76
"2014-11-09",27
"2014-11-10",46
"2014-11-11",76
"2014-11-12",111
"2014-11-13",65
"2014-11-14",91
"2014-11-15",83
"2014-11-16",75
"2014-11-17",60
"2014-11-18",69
"2014-11-19",58
"2014-11-20",78
"2014-11-21",85
"2014-11-22",120
"2014-11-23",103
"2014-11-24",99
"2014-11-25",77
"2014-11-26",88
"2014-11-27",83
"2014-11-28",67
"2014-11-29",67
"2014-11-30",114
"2014-12-01",71
"2014-12-02",86
"2014-12-03",42
"2014-12-04",67
"2014-12-05",86
"2014-12-06",97
"2014-12-07",104
"2014-12-08",93
"2014-12-09",146
"2014-12-10",39
"2014-12-11",84
"2014-12-12",110
"2014-12-13",129
"2014-12-14",90
"2014-12-15",118
"2014-12-16",57
"2014-12-17",96
"2014-12-18",97
"2014-12-19",110
"2014-12-20",132
"2014-12-21",191
"2014-12-22",95
"2014-12-23",113
"2014-12-24",171
"2014-12-25",204
"2014-12-26",172
"2014-12-27",138
"2014-12-28",163
"2014-12-29",124
"2014-12-30",148
"2014-12-31",235
"2015-01-02",NA
"2015-01-03",210
"2015-01-04",178
"2015-01-05",191
"2015-01-06",232
"2015-01-07",97
"2015-01-08",97
"2015-01-09",103
"2015-01-10",124
"2015-01-11",170
"2015-01-12",136
"2015-01-13",215
"2015-01-14",224
"2015-01-15",273
"2015-01-16",209
"2015-01-17",154
"2015-01-18",167
"2015-01-19",163
"2015-01-20",222
"2015-01-21",236
"2015-01-22",198
"2015-01-23",204
"2015-01-24",219
"2015-01-25",177
"2015-01-26",188
"2015-01-27",210
"2015-01-28",78
"2015-01-29",35
"2015-01-30",103
"2015-01-31",83
"2015-02-01",55
"2015-02-02",83
"2015-02-03",100
"2015-02-04",119
"2015-02-05",99
"2015-02-06",108
"2015-02-07",143
"2015-02-08",156
"2015-02-09",156
"2015-02-10",204
"2015-02-11",219
"2015-02-12",149
"2015-02-13",221
"2015-02-14",211
"2015-02-15",207
"2015-02-16",126
"2015-02-17",91
"2015-02-18",170
"2015-02-19",195
"2015-02-20",77
"2015-02-21",82
"2015-02-22",76
"2015-02-23",59
"2015-02-24",53
"2015-02-25",53
"2015-02-26",50
"2015-02-27",63
"2015-02-28",21
"2015-03-01",68
"2015-03-02",67
"2015-03-03",100
"2015-03-04",121
"2015-03-05",31
"2015-03-06",86
"2015-03-07",127
"2015-03-08",109
"2015-03-09",104
"2015-03-10",98
"2015-03-11",105
"2015-03-12",136
"2015-03-13",121
"2015-03-14",125
"2015-03-15",127
"2015-03-16",120
"2015-03-17",89
"2015-03-18",76
"2015-03-19",105
"2015-03-20",59
"2015-03-21",86
"2015-03-22",60
"2015-03-23",82
"2015-03-24",88
"2015-03-25",64
"2015-03-26",77
"2015-03-27",124
"2015-03-28",121
"2015-03-29",154
"2015-03-30",96
"2015-03-31",122
"2015-04-01",94
"2015-04-02",78
"2015-04-03",87
"2015-04-04",76
"2015-04-05",46
"2015-04-06",36
"2015-04-07",37
"2015-04-08",50
"2015-04-09",53
"2015-04-10",54
"2015-04-11",55
"2015-04-12",59
"2015-04-13",86
"2015-04-14",95
"2015-04-15",130
"2015-04-16",113
"2015-04-17",121
"2015-04-18",91
"2015-04-19",70
"2015-04-20",57
"2015-04-21",71
"2015-04-22",29
"2015-04-23",72
"2015-04-24",58
"2015-04-25",76
"2015-04-26",93
"2015-04-27",132
"2015-04-28",153
"2015-04-29",132
"2015-04-30",115
"2015-05-01",80
"2015-05-02",65
"2015-05-03",80
"2015-05-04",77
"2015-05-05",91
"2015-05-06",82
"2015-05-07",109
"2015-05-08",57
"2015-05-09",79
"2015-05-10",87
"2015-05-11",71
"2015-05-12",142
"2015-05-13",91
"2015-05-14",98
"2015-05-15",101
"2015-05-16",73
"2015-05-17",56
"2015-05-18",66
"2015-05-19",87
"2015-05-20",91
"2015-05-21",76
"2015-05-22",45
"2015-05-23",54
"2015-05-24",98
"2015-05-25",58
"2015-05-26",62
"2015-05-27",153
"2015-05-28",85
"2015-05-29",43
"2015-05-30",57
"2015-05-31",82
"2015-06-01",76
"2015-06-02",92
"2015-06-03",34
"2015-06-04",44
"2015-06-05",58
"2015-06-06",66
"2015-06-07",65
"2015-06-08",54
"2015-06-09",55
"2015-06-10",83
"2015-06-11",91
"2015-06-12",89
"2015-06-13",60
"2015-06-14",97
"2015-06-15",62
"2015-06-16",104
"2015-06-17",104
"2015-06-18",76
"2015-06-19",91
"2015-06-20",72
"2015-06-21",44
"2015-06-22",70
"2015-06-23",66
"2015-06-24",24
"2015-06-25",58
"2015-06-26",66
"2015-06-27",71
"2015-06-28",34
"2015-06-29",28
"2015-06-30",75
"2015-07-01",67
"2015-07-02",71
"2015-07-03",64
"2015-07-04",58
"2015-07-05",57
"2015-07-06",56
"2015-07-07",57
"2015-07-08",66
"2015-07-09",105
"2015-07-10",82
"2015-07-11",82
"2015-07-12",89
"2015-07-13",106
"2015-07-14",70
"2015-07-15",62
"2015-07-16",74
"2015-07-17",78
"2015-07-18",59
"2015-07-19",76
"2015-07-20",61
"2015-07-21",76
"2015-07-22",61
"2015-07-23",98
"2015-07-24",61
"2015-07-25",79
"2015-07-26",81
"2015-07-27",74
"2015-07-28",64
"2015-07-29",100
"2015-07-30",69
"2015-07-31",68
"2015-08-01",74
"2015-08-02",60
"2015-08-03",60
"2015-08-04",56
"2015-08-05",34
"2015-08-06",91
"2015-08-07",89
"2015-08-08",60
"2015-08-09",40
"2015-08-10",51
"2015-08-11",70
"2015-08-12",85
"2015-08-13",103
"2015-08-14",105
"2015-08-15",53
"2015-08-16",76
"2015-08-17",30
"2015-08-18",38
"2015-08-19",59
"2015-08-20",68
"2015-08-21",70
"2015-08-22",144
"2015-08-23",89
"2015-08-24",99
"2015-08-25",85
"2015-08-26",35
"2015-08-27",91
"2015-08-28",77
"2015-08-29",65
"2015-08-30",71
"2015-08-31",103
"2015-09-01",85
"2015-09-02",98
"2015-09-03",67
"2015-09-04",36
"2015-09-05",45
"2015-09-06",46
"2015-09-07",60
"2015-09-08",62
"2015-09-09",26
"2015-09-10",23
"2015-09-11",29
"2015-09-12",71
"2015-09-13",71
"2015-09-14",55
"2015-09-15",119
"2015-09-16",80
"2015-09-17",34
"2015-09-18",37
"2015-09-19",51
"2015-09-20",61
"2015-09-21",67
"2015-09-22",41
"2015-09-23",66
"2015-09-24",48
"2015-09-25",36
"2015-09-26",52
"2015-09-27",51
"2015-09-28",29
"2015-09-29",46
"2015-09-30",66
"2015-10-01",34
"2015-10-02",97
"2015-10-03",100
"2015-10-04",42
"2015-10-05",46
"2015-10-06",89
"2015-10-07",135
"2015-10-08",138
"2015-10-09",62
"2015-10-10",76
"2015-10-11",81
"2015-10-12",99
"2015-10-13",146
"2015-10-14",93
"2015-10-15",142
"2015-10-16",216
"2015-10-17",146
"2015-10-18",54
"2015-10-19",100
"2015-10-20",94
"2015-10-21",144
"2015-10-22",135
"2015-10-23",72
"2015-10-24",59
"2015-10-25",52
"2015-10-26",64
"2015-10-27",30
"2015-10-28",70
"2015-10-29",60
"2015-10-30",57
"2015-10-31",24
"2015-11-01",55
"2015-11-02",56
"2015-11-03",89
"2015-11-04",108
"2015-11-05",84
"2015-11-06",87
"2015-11-07",30
"2015-11-08",36
"2015-11-09",80
"2015-11-10",83
"2015-11-11",40
"2015-11-12",16
"2015-11-13",42
"2015-11-14",62
"2015-11-15",50
"2015-11-16",65
"2015-11-17",62
"2015-11-18",72
"2015-11-19",63
"2015-11-20",74
"2015-11-21",82
"2015-11-22",62
"2015-11-23",104
"2015-11-24",29
"2015-11-25",45
"2015-11-26",78
"2015-11-27",80
"2015-11-28",61
"2015-11-29",80
"2015-11-30",65
"2015-12-01",82
"2015-12-02",89
"2015-12-03",97
"2015-12-04",48
"2015-12-05",53
"2015-12-06",69
"2015-12-07",126
"2015-12-08",103
"2015-12-09",92
"2015-12-10",105
"2015-12-11",120
"2015-12-12",71
"2015-12-13",34
"2015-12-14",75
"2015-12-15",51
"2015-12-16",81
"2015-12-17",94
"2015-12-18",78
"2015-12-19",100
"2015-12-20",86
"2015-12-21",72
"2015-12-22",119
"2015-12-23",105
"2015-12-24",119
"2015-12-25",104
"2015-12-26",124
"2015-12-27",156
"2015-12-28",195
"2015-12-29",216
"2015-12-30",300
"2015-12-31",247
"2016-01-01",233
"2016-01-02",211
"2016-01-03",149
"2016-01-04",150
"2016-01-05",150
"2016-01-06",142
"2016-01-07",170
"2016-01-08",105
"2016-01-09",80
"2016-01-10",77
"2016-01-11",63
"2016-01-12",44
"2016-01-13",42
"2016-01-14",94
"2016-01-15",97
"2016-01-16",85
