"date","AQI"
"2014-05-13",91
"2014-05-23",51
"2014-06-02",30
"2014-06-12",70
"2014-06-22",35
"2014-07-02",41
"2014-07-12",40
"2014-07-31",110
"2014-08-10",35
"2014-08-20",39
"2014-08-30",59
"2014-09-09",42
"2014-09-19",105
"2014-09-29",65
"2014-10-09",105
"2014-10-19",108
"2014-10-29",77
"2014-11-08",35
"2014-11-18",67
"2014-11-28",71
"2014-12-08",35
"2014-12-18",52
"2014-12-28",61
"2015-01-08",50
"2015-01-18",110
"2015-01-28",88
"2015-02-07",142
"2015-02-17",45
"2015-02-27",33
"2015-03-09",147
"2015-03-19",45
"2015-03-29",71
"2015-04-08",32
"2015-04-18",42
"2015-04-28",58
"2015-05-08",26
"2015-05-18",45
"2015-05-28",35
"2015-06-07",52
"2015-06-17",45
"2015-06-27",31
"2015-07-07",37
"2015-07-17",60
"2015-07-27",28
"2015-08-06",99
"2015-08-16",44
"2015-08-26",97
"2015-09-05",45
"2015-09-15",77
"2015-09-25",58
"2015-10-05",19
"2015-10-15",142
"2015-10-25",81
"2015-11-04",77
"2015-11-14",29
"2015-11-24",39
"2015-12-04",26
"2015-12-14",56
"2015-12-24",76
"2016-01-03",146
"2016-01-13",45
"2016-01-23",14
"2016-02-02",18
"2016-02-12",49
"2016-02-22",85
"2016-03-03",89
"2016-03-13",49
"2016-03-23",41
"2016-04-02",61
"2016-04-12",43
"2016-04-22",58
"2016-05-02",44
"2016-05-12",65
"2016-05-22",25
"2016-06-01",35
"2016-06-11",41
"2016-06-21",31
"2016-07-01",33
"2016-07-11",57
"2016-07-21",31
"2016-07-31",60
"2016-08-10",54
"2016-08-20",53
"2016-08-30",63
"2016-09-09",53
"2016-09-19",37
"2016-09-29",38
"2016-10-09",38
"2016-10-19",15
"2016-10-29",81
"2016-11-08",74
"2016-11-18",116
"2016-11-28",54
"2016-12-08",110
"2016-12-18",83
"2016-12-28",54
"2017-01-07",100
"2017-01-17",55
"2017-01-27",97
"2017-02-06",46
"2017-02-16",70
"2017-02-26",29
