"date","AQI"
"2014-05-13",111
"2014-05-23",53
"2014-06-02",36
"2014-06-12",45
"2014-06-22",38
"2014-07-02",35
"2014-07-12",113
"2014-07-31",42
"2014-08-10",56
"2014-08-20",48
"2014-08-30",39
"2014-09-09",52
"2014-09-19",50
"2014-09-29",48
"2014-10-09",46
"2014-10-19",41
"2014-10-29",43
"2014-11-08",40
"2014-11-18",87
"2014-11-28",36
"2014-12-08",172
"2014-12-18",83
"2014-12-28",38
"2015-01-08",63
"2015-01-18",36
"2015-01-28",27
"2015-02-07",130
"2015-02-17",188
"2015-02-27",53
"2015-03-09",67
"2015-03-19",38
"2015-03-29",138
"2015-04-08",40
"2015-04-18",81
"2015-04-28",75
"2015-05-08",49
"2015-05-18",66
"2015-05-28",60
"2015-06-07",81
"2015-06-17",67
"2015-06-27",38
"2015-07-07",48
"2015-07-17",55
"2015-07-27",91
"2015-08-06",49
"2015-08-16",45
"2015-08-26",39
"2015-09-05",108
"2015-09-15",50
"2015-09-25",41
"2015-10-05",44
"2015-10-15",93
"2015-10-25",54
"2015-11-04",74
"2015-11-14",78
"2015-11-24",34
"2015-12-04",70
"2015-12-14",121
"2015-12-24",96
"2016-01-03",191
"2016-01-13",77
"2016-01-23",56
"2016-02-02",38
"2016-02-12",40
"2016-02-22",97
"2016-03-03",87
"2016-03-13",93
"2016-03-23",49
"2016-04-02",94
"2016-04-12",66
"2016-04-22",178
"2016-05-02",70
"2016-05-12",127
"2016-05-22",50
"2016-06-01",80
"2016-06-11",45
"2016-06-21",35
"2016-07-01",64
"2016-07-11",26
"2016-07-21",83
"2016-07-31",32
"2016-08-10",15
"2016-08-20",37
"2016-08-30",57
"2016-09-09",114
"2016-09-19",48
"2016-09-29",38
"2016-10-09",52
"2016-10-19",45
"2016-10-29",43
"2016-11-08",40
"2016-11-18",43
"2016-11-28",130
"2016-12-08",150
"2016-12-18",35
"2016-12-28",44
"2017-01-07",19
"2017-01-17",36
"2017-01-27",58
"2017-02-06",185
"2017-02-16",66
"2017-02-26",141
