"date","AQI"
"2014-05-13",113
"2014-05-14",105
"2014-05-15",109
"2014-05-16",104
"2014-05-17",87
"2014-05-18",150
"2014-05-19",260
"2014-05-20",300
"2014-05-21",500
"2014-05-22",82
"2014-05-23",21
"2014-05-24",71
"2014-05-25",118
"2014-05-26",147
"2014-05-27",NA
"2014-05-28",89
"2014-05-29",79
"2014-05-30",147
"2014-05-31",77
"2014-06-01",NA
"2014-06-02",61
"2014-06-03",68
"2014-06-04",81
"2014-06-05",108
"2014-06-06",157
"2014-06-07",97
"2014-06-08",82
"2014-06-09",128
"2014-06-10",82
"2014-06-11",NA
"2014-06-12",116
"2014-06-13",172
"2014-06-14",217
"2014-06-15",118
"2014-06-16",119
"2014-06-17",66
"2014-06-18",67
"2014-06-19",82
"2014-06-20",89
"2014-06-21",48
"2014-06-22",97
"2014-06-23",141
"2014-06-24",160
"2014-06-25",67
"2014-06-26",92
"2014-06-27",74
"2014-06-28",108
"2014-06-29",76
"2014-06-30",153
"2014-07-01",NA
"2014-07-02",79
"2014-07-03",263
"2014-07-04",85
"2014-07-05",77
"2014-07-06",47
"2014-07-07",61
"2014-07-08",65
"2014-07-09",55
"2014-07-10",84
"2014-07-11",102
"2014-07-12",122
"2014-07-13",117
"2014-07-14",73
"2014-07-24",83
"2014-07-25",35
"2014-07-26",122
"2014-07-27",136
"2014-07-28",76
"2014-07-29",148
"2014-07-30",100
"2014-07-31",98
"2014-08-01",93
"2014-08-02",66
"2014-08-03",71
"2014-08-04",90
"2014-08-05",88
"2014-08-06",61
"2014-08-07",113
"2014-08-08",79
"2014-08-09",107
"2014-08-10",75
"2014-08-11",96
"2014-08-12",149
"2014-08-13",160
"2014-08-14",163
"2014-08-15",141
"2014-08-16",123
"2014-08-17",86
"2014-08-18",62
"2014-08-19",59
"2014-08-20",70
"2014-08-21",104
"2014-08-22",134
"2014-08-23",147
"2014-08-24",143
"2014-08-25",175
"2014-08-26",189
"2014-08-27",168
"2014-08-28",106
"2014-08-29",85
"2014-08-30",121
"2014-08-31",190
"2014-09-01",NA
"2014-09-02",124
"2014-09-03",199
"2014-09-04",NA
"2014-09-05",96
"2014-09-06",112
"2014-09-07",99
"2014-09-08",102
"2014-09-09",86
"2014-09-10",172
"2014-09-11",93
"2014-09-12",66
"2014-09-13",84
"2014-09-14",121
"2014-09-15",152
"2014-09-16",161
"2014-09-17",173
"2014-09-18",166
"2014-09-19",172
"2014-09-20",27
"2014-09-21",69
"2014-09-22",121
"2014-09-23",129
"2014-09-24",127
"2014-09-25",160
"2014-09-26",165
"2014-09-27",209
"2014-09-28",191
"2014-09-29",75
"2014-09-30",91
"2014-10-01",122
"2014-10-02",65
"2014-10-03",76
"2014-10-04",124
"2014-10-05",85
"2014-10-06",73
"2014-10-07",45
"2014-10-08",87
"2014-10-09",32
"2014-10-10",55
"2014-10-11",98
"2014-10-12",123
"2014-10-13",147
"2014-10-14",173
"2014-10-15",115
"2014-10-16",181
"2014-10-17",207
"2014-10-18",161
"2014-10-19",193
"2014-10-20",197
"2014-10-21",191
"2014-10-22",135
"2014-10-23",187
"2014-10-24",134
"2014-10-25",108
"2014-10-26",134
"2014-10-27",119
"2014-10-28",28
"2014-10-29",39
"2014-10-30",74
"2014-10-31",76
"2014-11-01",97
"2014-11-02",82
"2014-11-03",119
"2014-11-04",181
"2014-11-05",172
"2014-11-06",138
"2014-11-07",145
"2014-11-08",162
"2014-11-09",49
"2014-11-10",23
"2014-11-11",63
"2014-11-12",59
"2014-11-13",60
"2014-11-14",48
"2014-11-15",87
"2014-11-16",165
"2014-11-17",97
"2014-11-18",87
"2014-11-19",86
"2014-11-20",66
"2014-11-21",96
"2014-11-22",157
"2014-11-23",91
"2014-11-24",104
"2014-11-25",64
"2014-11-26",53
"2014-11-27",94
"2014-11-28",85
"2014-11-29",50
"2014-11-30",74
"2014-12-01",100
"2014-12-02",70
"2014-12-03",113
"2014-12-04",131
"2014-12-05",135
"2014-12-06",87
"2014-12-07",117
"2014-12-08",56
"2014-12-09",65
"2014-12-10",139
"2014-12-11",200
"2014-12-12",125
"2014-12-13",128
"2014-12-14",82
"2014-12-15",244
"2014-12-16",92
"2014-12-17",236
"2014-12-18",332
"2014-12-19",302
"2014-12-20",314
"2014-12-21",261
"2014-12-22",196
"2014-12-23",340
"2014-12-24",359
"2014-12-25",235
"2014-12-26",274
"2014-12-27",163
"2014-12-28",242
"2014-12-29",297
"2014-12-30",306
"2014-12-31",219
"2015-01-02",NA
"2015-01-03",171
"2015-01-04",109
"2015-01-05",244
"2015-01-06",119
"2015-01-07",202
"2015-01-08",287
"2015-01-09",193
