"date","AQI"
"2014-05-13",85
"2014-05-14",62
"2014-05-15",77
"2014-05-16",100
"2014-05-17",93
"2014-05-18",105
"2014-05-19",102
"2014-05-20",115
"2014-05-21",101
"2014-05-22",79
"2014-05-23",52
"2014-05-24",44
"2014-05-25",175
"2014-05-26",289
"2014-05-27",NA
"2014-05-28",114
"2014-05-29",117
"2014-05-30",110
"2014-05-31",86
"2014-06-01",NA
"2014-06-02",97
"2014-06-03",77
"2014-06-04",114
"2014-06-05",97
"2014-06-06",100
"2014-06-07",67
"2014-06-08",78
"2014-06-09",96
"2014-06-10",112
"2014-06-11",NA
"2014-06-12",86
"2014-06-13",70
"2014-06-14",80
"2014-06-15",81
"2014-06-16",56
"2014-06-17",73
"2014-06-18",61
"2014-06-19",67
"2014-06-20",52
"2014-06-21",81
"2014-06-22",69
"2014-06-23",59
"2014-06-24",55
"2014-06-25",29
"2014-06-26",69
"2014-06-27",91
"2014-06-28",86
"2014-06-29",64
"2014-06-30",62
"2014-07-01",NA
"2014-07-02",71
"2014-07-03",77
"2014-07-04",79
"2014-07-05",76
"2014-07-06",73
"2014-07-07",83
"2014-07-08",90
"2014-07-09",75
"2014-07-10",32
"2014-07-11",31
"2014-07-12",57
"2014-07-13",76
"2014-07-14",73
"2014-07-24",81
"2014-07-25",70
"2014-07-26",86
"2014-07-27",83
"2014-07-28",94
"2014-07-29",73
"2014-07-30",100
"2014-07-31",65
"2014-08-01",103
"2014-08-02",109
"2014-08-03",108
"2014-08-04",115
"2014-08-05",77
"2014-08-06",85
"2014-08-07",38
"2014-08-08",52
"2014-08-09",20
"2014-08-10",73
"2014-08-11",90
"2014-08-12",101
"2014-08-13",38
"2014-08-14",67
"2014-08-15",64
"2014-08-16",83
"2014-08-17",61
"2014-08-18",86
"2014-08-19",84
"2014-08-20",89
"2014-08-21",107
"2014-08-22",109
"2014-08-23",76
"2014-08-24",66
"2014-08-25",62
"2014-08-26",91
"2014-08-27",86
"2014-08-28",37
"2014-08-29",62
"2014-08-30",28
"2014-08-31",30
"2014-09-01",NA
"2014-09-02",76
"2014-09-03",68
"2014-09-04",65
"2014-09-05",94
"2014-09-06",75
"2014-09-07",88
"2014-09-08",59
"2014-09-09",61
"2014-09-10",63
"2014-09-11",56
"2014-09-12",20
"2014-09-13",42
"2014-09-14",32
"2014-09-15",23
"2014-09-16",19
"2014-09-17",27
"2014-09-18",47
"2014-09-19",78
"2014-09-20",105
"2014-09-21",NA
"2014-09-22",77
"2014-09-23",89
"2014-09-24",52
"2014-09-25",74
"2014-09-26",130
"2014-09-27",121
"2014-09-28",76
"2014-09-29",33
"2014-09-30",63
"2014-10-01",66
"2014-10-02",68
"2014-10-03",105
"2014-10-04",129
"2014-10-05",70
"2014-10-06",89
"2014-10-07",110
"2014-10-08",206
